17/05/24-19:57:50 | Phase 1 | BEGIN | Parameter initialization
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > Zeros   | 
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 49 > Num zeros  | 0
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 50 > NI_PLUS   | 167
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 50 > NI_MINUS   | 97
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 50 > h_plus   | 1.37115959595959
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 50 > fraction   | 1.72164948453608
17/05/24-19:58:54 | Phase 2 | < 3 , 1 , 1 , 50 > h_minus   | 2.36065621160054
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 50 > ACC[var,h]  | 0
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 50 > Zeros   | 
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 50 > Num zeros  | 0
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > NI_PLUS   | 167
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > NI_MINUS   | 97
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > h_plus   | 1.3977364040404
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > fraction   | 1.72164948453608
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > h_minus   | 2.40641215953347
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > ACC[var,h]  | 0
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > Zeros   | 
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 51 > Num zeros  | 0
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > NI_PLUS   | 167
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > NI_MINUS   | 97
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > h_plus   | 1.42431321212121
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > fraction   | 1.72164948453608
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > h_minus   | 2.45216810746641
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > ACC[var,h]  | 0
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > Zeros   | 
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 52 > Num zeros  | 0
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 53 > NI_PLUS   | 167
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 53 > NI_MINUS   | 97
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 53 > h_plus   | 1.45089002020202
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 53 > fraction   | 1.72164948453608
17/05/24-19:58:55 | Phase 2 | < 3 , 1 , 1 , 53 > h_minus   | 2.49792405539935
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 53 > ACC[var,h]  | 0.49952380952381
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 53 > Zeros   | 38.7779768151934
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 53 > Num zeros  | 1
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 54 > NI_PLUS   | 167
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 54 > NI_MINUS   | 97
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 54 > h_plus   | 1.47746682828283
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 54 > fraction   | 1.72164948453608
17/05/24-19:58:57 | Phase 2 | < 3 , 1 , 1 , 54 > h_minus   | 2.54368000333229
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 54 > ACC[var,h]  | 0.49952380952381
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 54 > Zeros   | 38.7937514512062
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 54 > Num zeros  | 1
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 55 > NI_PLUS   | 167
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 55 > NI_MINUS   | 97
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 55 > h_plus   | 1.50404363636363
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 55 > fraction   | 1.72164948453608
17/05/24-19:58:59 | Phase 2 | < 3 , 1 , 1 , 55 > h_minus   | 2.58943595126523
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 55 > ACC[var,h]  | 0.486666666666667
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 55 > Zeros   | 38.8104077834058, 39.2102549482184
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 55 > Num zeros  | 2
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 56 > NI_PLUS   | 167
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 56 > NI_MINUS   | 97
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 56 > h_plus   | 1.53062044444444
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 56 > fraction   | 1.72164948453608
17/05/24-19:59:00 | Phase 2 | < 3 , 1 , 1 , 56 > h_minus   | 2.63519189919816
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 56 > ACC[var,h]  | 0.487619047619048
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 56 > Zeros   | 38.8292005821609
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 56 > Num zeros  | 1
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 57 > NI_PLUS   | 167
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 57 > NI_MINUS   | 97
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 57 > h_plus   | 1.55719725252525
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 57 > fraction   | 1.72164948453608
17/05/24-19:59:02 | Phase 2 | < 3 , 1 , 1 , 57 > h_minus   | 2.6809478471311
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 57 > ACC[var,h]  | 0.486666666666667
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 57 > Zeros   | 38.8480748541374, 39.2484578343055
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 57 > Num zeros  | 2
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 58 > NI_PLUS   | 167
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 58 > NI_MINUS   | 97
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 58 > h_plus   | 1.58377406060606
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 58 > fraction   | 1.72164948453608
17/05/24-19:59:04 | Phase 2 | < 3 , 1 , 1 , 58 > h_minus   | 2.72670379506404
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 58 > ACC[var,h]  | 0.486666666666667
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 58 > Zeros   | 38.8665821838477, 39.268434797167
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 58 > Num zeros  | 2
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 59 > NI_PLUS   | 167
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 59 > NI_MINUS   | 97
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 59 > h_plus   | 1.61035086868687
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 59 > fraction   | 1.72164948453608
17/05/24-19:59:06 | Phase 2 | < 3 , 1 , 1 , 59 > h_minus   | 2.77245974299698
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 59 > ACC[var,h]  | 0.486666666666667
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 59 > Zeros   | 38.8847598785601, 39.2882677217333
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 59 > Num zeros  | 2
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 60 > NI_PLUS   | 167
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 60 > NI_MINUS   | 97
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 60 > h_plus   | 1.63692767676767
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 60 > fraction   | 1.72164948453608
17/05/24-19:59:07 | Phase 2 | < 3 , 1 , 1 , 60 > h_minus   | 2.81821569092991
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > ACC[var,h]  | 0.511428571428571
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > Zeros   | 38.9026398118398, 39.3079664771468
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > Num zeros  | 2
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > Best Policy           | 38.9026398118398, 39.3079664771468
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > Best Policy (Metric)  | 0.511428571428571
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > Best Policy (H +   )  | 1.63692767676767
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 60 > Best Policy (H -   )  | 2.81821569092991
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 61 > NI_PLUS   | 167
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 61 > NI_MINUS   | 97
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 61 > h_plus   | 1.66350448484848
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 61 > fraction   | 1.72164948453608
17/05/24-19:59:09 | Phase 2 | < 3 , 1 , 1 , 61 > h_minus   | 2.86397163886285
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 61 > ACC[var,h]  | 0.511428571428571
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 61 > Zeros   | 38.9202494460382, 39.3275399928693
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 61 > Num zeros  | 2
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 62 > NI_PLUS   | 167
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 62 > NI_MINUS   | 97
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 62 > h_plus   | 1.69008129292929
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 62 > fraction   | 1.72164948453608
17/05/24-19:59:11 | Phase 2 | < 3 , 1 , 1 , 62 > h_minus   | 2.90972758679579
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 62 > ACC[var,h]  | 0.511428571428571
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 62 > Zeros   | 38.9376126219934, 39.3469963734833
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 62 > Num zeros  | 2
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 63 > NI_PLUS   | 167
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 63 > NI_MINUS   | 97
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 63 > h_plus   | 1.7166581010101
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 63 > fraction   | 1.72164948453608
17/05/24-19:59:13 | Phase 2 | < 3 , 1 , 1 , 63 > h_minus   | 2.95548353472873
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 63 > ACC[var,h]  | 0.511428571428571
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 63 > Zeros   | 38.9547355252138, 39.3663429964607
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 63 > Num zeros  | 2
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 64 > NI_PLUS   | 167
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 64 > NI_MINUS   | 97
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 64 > h_plus   | 1.74323490909091
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 64 > fraction   | 1.72164948453608
17/05/24-19:59:15 | Phase 2 | < 3 , 1 , 1 , 64 > h_minus   | 3.00123948266166
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 64 > ACC[var,h]  | 0.511428571428571
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 64 > Zeros   | 38.9710995453073, 39.3855865957797
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 64 > Num zeros  | 2
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 65 > NI_PLUS   | 167
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 65 > NI_MINUS   | 97
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 65 > h_plus   | 1.76981171717171
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 65 > fraction   | 1.72164948453608
17/05/24-19:59:17 | Phase 2 | < 3 , 1 , 1 , 65 > h_minus   | 3.0469954305946
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 65 > ACC[var,h]  | 0.48
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 65 > Zeros   | 39.4047333338841
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 65 > Num zeros  | 1
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 66 > NI_PLUS   | 167
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 66 > NI_MINUS   | 97
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 66 > h_plus   | 1.79638852525252
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 66 > fraction   | 1.72164948453608
17/05/24-19:59:19 | Phase 2 | < 3 , 1 , 1 , 66 > h_minus   | 3.09275137852754
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 66 > ACC[var,h]  | 0.48
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 66 > Zeros   | 39.4237888638272
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 66 > Num zeros  | 1
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 67 > NI_PLUS   | 167
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 67 > NI_MINUS   | 97
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 67 > h_plus   | 1.82296533333333
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 67 > fraction   | 1.72164948453608
17/05/24-19:59:21 | Phase 2 | < 3 , 1 , 1 , 67 > h_minus   | 3.13850732646048
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 67 > ACC[var,h]  | 0.48
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 67 > Zeros   | 39.4427583832158
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 67 > Num zeros  | 1
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 68 > NI_PLUS   | 167
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 68 > NI_MINUS   | 97
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 68 > h_plus   | 1.84954214141414
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 68 > fraction   | 1.72164948453608
17/05/24-19:59:23 | Phase 2 | < 3 , 1 , 1 , 68 > h_minus   | 3.18426327439342
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 68 > ACC[var,h]  | 0.48
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 68 > Zeros   | 39.4616466811422
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 68 > Num zeros  | 1
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 69 > NI_PLUS   | 167
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 69 > NI_MINUS   | 97
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 69 > h_plus   | 1.87611894949495
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 69 > fraction   | 1.72164948453608
17/05/24-19:59:26 | Phase 2 | < 3 , 1 , 1 , 69 > h_minus   | 3.23001922232635
