17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:24:44 | Phase 2 | < 16 , 8 > ACC[var,h]  | 0.888888888888889
17/02/06-23:24:44 | Phase 2 | < 16 , 8 > Zeros   | 0.297375757575758, 0.430524242424242
17/02/06-23:24:44 | Phase 2 | < 16 , 8 > Num zeros  | 2
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > NI_PLUS   | 99
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > NI_MINUS   | 88
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > h_plus   | 0.0398848484848485
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > fraction   | 1.125
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > h_minus   | 0.0448704545454545
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > ACC[var,h]  | 0.984848484848485
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > Zeros   | 0.435484848484848, 0.830615151515152
17/02/06-23:24:44 | Phase 2 | < 16 , 9 > Num zeros  | 2
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > NI_PLUS   | 99
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > NI_MINUS   | 88
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > h_plus   | 0.0448454545454545
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > fraction   | 1.125
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > h_minus   | 0.0504511363636363
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > ACC[var,h]  | 0.976010101010101
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > Zeros   | 0.905276470588235
17/02/06-23:24:44 | Phase 2 | < 16 , 10 > Num zeros  | 1
17/02/06-23:24:44 | Phase 2 | < 16 , 11 > NI_PLUS   | 99
17/02/06-23:24:44 | Phase 2 | < 16 , 11 > NI_MINUS   | 88
17/02/06-23:24:44 | Phase 2 | < 16 , 11 > h_plus   | 0.0498060606060606
17/02/06-23:24:44 | Phase 2 | < 16 , 11 > fraction   | 1.125
17/02/06-23:24:44 | Phase 2 | < 16 , 11 > h_minus   | 0.0560318181818182
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > ACC[var,h]  | 0.856060606060606
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > Zeros   | 0.171268181818182, 0.921741176470585
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > Num zeros  | 2
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > Best Policy           | 0.171268181818182, 0.921741176470585
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > Best Policy (Metric)  | 0.856060606060606
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > Best Policy (H +   )  | 0.0498060606060606
17/02/06-23:24:45 | Phase 2 | < 16 , 11 > Best Policy (H -   )  | 0.0560318181818182
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > NI_PLUS   | 99
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > NI_MINUS   | 88
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > h_plus   | 0.0547666666666667
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > fraction   | 1.125
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > h_minus   | 0.0616125
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > ACC[var,h]  | 0.890151515151515
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > Zeros   | 0.1656875, 0.282888235294118, 0.450366666666666, 0.815733333333335
17/02/06-23:24:45 | Phase 2 | < 16 , 12 > Num zeros  | 4
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > NI_PLUS   | 99
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > NI_MINUS   | 88
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > h_plus   | 0.0597272727272727
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > fraction   | 1.125
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > h_minus   | 0.0671931818181818
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > Zeros   | 0.282888235294118, 0.455327272727272, 0.905276470588237
17/02/06-23:24:45 | Phase 2 | < 16 , 13 > Num zeros  | 3
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > NI_PLUS   | 99
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > NI_MINUS   | 88
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > h_plus   | 0.0646878787878788
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > fraction   | 1.125
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > h_minus   | 0.0727738636363636
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > Zeros   | 0.154526136363636, 0.282888235294118, 0.928014648748919
17/02/06-23:24:46 | Phase 2 | < 16 , 14 > Num zeros  | 3
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > NI_PLUS   | 99
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > NI_MINUS   | 88
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > h_plus   | 0.0696484848484848
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > fraction   | 1.125
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > h_minus   | 0.0783545454545454
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > Zeros   | 0.282888235294118, 0.928014648748918
17/02/06-23:24:46 | Phase 2 | < 16 , 15 > Num zeros  | 2
17/02/06-23:24:46 | Phase 2 | < 16 , 16 > NI_PLUS   | 99
17/02/06-23:24:46 | Phase 2 | < 16 , 16 > NI_MINUS   | 88
17/02/06-23:24:46 | Phase 2 | < 16 , 16 > h_plus   | 0.0746090909090909
17/02/06-23:24:46 | Phase 2 | < 16 , 16 > fraction   | 1.125
17/02/06-23:24:46 | Phase 2 | < 16 , 16 > h_minus   | 0.0839352272727273
17/02/06-23:24:47 | Phase 2 | < 16 , 16 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:47 | Phase 2 | < 16 , 16 > Zeros   | 0.282888235294118, 0.925855945119878
17/02/06-23:24:47 | Phase 2 | < 16 , 16 > Num zeros  | 2
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > NI_PLUS   | 99
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > NI_MINUS   | 88
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > h_plus   | 0.079569696969697
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > fraction   | 1.125
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > h_minus   | 0.0895159090909091
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > Zeros   | 0.282888235294118, 0.921235814632071
17/02/06-23:24:47 | Phase 2 | < 16 , 17 > Num zeros  | 2
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > NI_PLUS   | 99
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > NI_MINUS   | 88
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > h_plus   | 0.084530303030303
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > fraction   | 1.125
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > h_minus   | 0.0950965909090909
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > ACC[var,h]  | 0.832070707070707
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > Zeros   | 0.132203409090909, 0.282888235294118, 0.639830303030303, 0.910473696213891
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > Num zeros  | 4
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > Best Policy           | 0.132203409090909, 0.282888235294118, 0.639830303030303, 0.910473696213891
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > Best Policy (Metric)  | 0.832070707070707
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > Best Policy (H +   )  | 0.084530303030303
17/02/06-23:24:47 | Phase 2 | < 16 , 18 > Best Policy (H -   )  | 0.0950965909090909
17/02/06-23:24:47 | Phase 2 | < 16 , 19 > NI_PLUS   | 99
17/02/06-23:24:47 | Phase 2 | < 16 , 19 > NI_MINUS   | 88
17/02/06-23:24:47 | Phase 2 | < 16 , 19 > h_plus   | 0.0894909090909091
17/02/06-23:24:47 | Phase 2 | < 16 , 19 > fraction   | 1.125
17/02/06-23:24:47 | Phase 2 | < 16 , 19 > h_minus   | 0.100677272727273
17/02/06-23:24:48 | Phase 2 | < 16 , 19 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:48 | Phase 2 | < 16 , 19 > Zeros   | 0.282888235294118, 0.910473696213888
17/02/06-23:24:48 | Phase 2 | < 16 , 19 > Num zeros  | 2
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > NI_PLUS   | 99
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > NI_MINUS   | 88
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > h_plus   | 0.0944515151515151
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > fraction   | 1.125
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > h_minus   | 0.106257954545455
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > Zeros   | 0.121042045454545, 0.282888235294118, 0.910473696213888
17/02/06-23:24:48 | Phase 2 | < 16 , 20 > Num zeros  | 3
17/02/06-23:24:48 | Phase 2 | < 16 , 21 > NI_PLUS   | 99
17/02/06-23:24:48 | Phase 2 | < 16 , 21 > NI_MINUS   | 88
17/02/06-23:24:48 | Phase 2 | < 16 , 21 > h_plus   | 0.0994121212121212
17/02/06-23:24:48 | Phase 2 | < 16 , 21 > fraction   | 1.125
17/02/06-23:24:48 | Phase 2 | < 16 , 21 > h_minus   | 0.111838636363636
17/02/06-23:24:49 | Phase 2 | < 16 , 21 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:49 | Phase 2 | < 16 , 21 > Zeros   | 0.282888235294118, 0.910473696213892
17/02/06-23:24:49 | Phase 2 | < 16 , 21 > Num zeros  | 2
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > NI_PLUS   | 99
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > NI_MINUS   | 88
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > h_plus   | 0.104372727272727
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > fraction   | 1.125
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > h_minus   | 0.117419318181818
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > ACC[var,h]  | 0.827020202020202
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > Zeros   | 0.282888235294118, 0.659672727272727, 0.910473696213891
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > Num zeros  | 3
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > Best Policy           | 0.282888235294118, 0.659672727272727, 0.910473696213891
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > Best Policy (Metric)  | 0.827020202020202
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > Best Policy (H +   )  | 0.104372727272727
17/02/06-23:24:49 | Phase 2 | < 16 , 22 > Best Policy (H -   )  | 0.117419318181818
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > NI_PLUS   | 99
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > NI_MINUS   | 88
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > h_plus   | 0.109333333333333
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > fraction   | 1.125
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > h_minus   | 0.123
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > ACC[var,h]  | 0.877525252525252
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > Zeros   | 0.1043, 0.282888235294118, 0.910473696213893
17/02/06-23:24:49 | Phase 2 | < 16 , 23 > Num zeros  | 3
17/02/06-23:24:49 | Phase 2 | < 16 , 24 > NI_PLUS   | 99
17/02/06-23:24:49 | Phase 2 | < 16 , 24 > NI_MINUS   | 88
17/02/06-23:24:49 | Phase 2 | < 16 , 24 > h_plus   | 0.114293939393939
17/02/06-23:24:49 | Phase 2 | < 16 , 24 > fraction   | 1.125
17/02/06-23:24:49 | Phase 2 | < 16 , 24 > h_minus   | 0.128580681818182
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > ACC[var,h]  | 0.806818181818182
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > Zeros   | 0.0987193181818182, 0.282018890896775, 0.669593939393939, 0.90410064684884
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > Num zeros  | 4
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > Best Policy           | 0.0987193181818182, 0.282018890896775, 0.669593939393939, 0.90410064684884
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > Best Policy (Metric)  | 0.806818181818182
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > Best Policy (H +   )  | 0.114293939393939
17/02/06-23:24:50 | Phase 2 | < 16 , 24 > Best Policy (H -   )  | 0.128580681818182
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > NI_PLUS   | 99
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > NI_MINUS   | 88
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > h_plus   | 0.119254545454545
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > fraction   | 1.125
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > h_minus   | 0.134161363636364
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > ACC[var,h]  | 0.789141414141414
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > Zeros   | 0.0931386363636364, 0.279244277102007, 0.674554545454545, 0.898067028340113
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > Num zeros  | 4
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > Best Policy           | 0.0931386363636364, 0.279244277102007, 0.674554545454545, 0.898067028340113
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > Best Policy (Metric)  | 0.789141414141414
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > Best Policy (H +   )  | 0.119254545454545
17/02/06-23:24:50 | Phase 2 | < 16 , 25 > Best Policy (H -   )  | 0.134161363636364
17/02/06-23:24:50 | Phase 2 | < 16 , 26 > NI_PLUS   | 99
17/02/06-23:24:50 | Phase 2 | < 16 , 26 > NI_MINUS   | 88
17/02/06-23:24:50 | Phase 2 | < 16 , 26 > h_plus   | 0.124215151515152
17/02/06-23:24:50 | Phase 2 | < 16 , 26 > fraction   | 1.125
17/02/06-23:24:50 | Phase 2 | < 16 , 26 > h_minus   | 0.139742045454545
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > ACC[var,h]  | 0.768939393939394
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > Zeros   | 0.0875579545454546, 0.276398150044584, 0.679515151515151
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > Num zeros  | 3
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > Best Policy           | 0.0875579545454546, 0.276398150044584, 0.679515151515151
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > Best Policy (Metric)  | 0.768939393939394
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > Best Policy (H +   )  | 0.124215151515152
17/02/06-23:24:51 | Phase 2 | < 16 , 26 > Best Policy (H -   )  | 0.139742045454545
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > NI_PLUS   | 99
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > NI_MINUS   | 88
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > h_plus   | 0.129175757575758
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > fraction   | 1.125
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > h_minus   | 0.145322727272727
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > ACC[var,h]  | 0.78030303030303
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > Zeros   | 0.273483907488828, 0.684475757575757
17/02/06-23:24:51 | Phase 2 | < 16 , 27 > Num zeros  | 2
17/02/06-23:24:51 | Phase 2 | < 16 , 28 > NI_PLUS   | 99
17/02/06-23:24:51 | Phase 2 | < 16 , 28 > NI_MINUS   | 88
17/02/06-23:24:51 | Phase 2 | < 16 , 28 > h_plus   | 0.134136363636364
17/02/06-23:24:51 | Phase 2 | < 16 , 28 > fraction   | 1.125
17/02/06-23:24:51 | Phase 2 | < 16 , 28 > h_minus   | 0.150903409090909
17/02/06-23:24:52 | Phase 2 | < 16 , 28 > ACC[var,h]  | 0.872474747474747
17/02/06-23:24:52 | Phase 2 | < 16 , 28 > Zeros   | 0.270504809180506
17/02/06-23:24:52 | Phase 2 | < 16 , 28 > Num zeros  | 1
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > NI_PLUS   | 99
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > NI_MINUS   | 88
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > h_plus   | 0.13909696969697
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > fraction   | 1.125
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > h_minus   | 0.156484090909091
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > ACC[var,h]  | 0.872474747474747
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > Zeros   | 0.267463975993894
17/02/06-23:24:52 | Phase 2 | < 16 , 29 > Num zeros  | 1
17/02/06-23:24:52 | Phase 2 | < 16 , 30 > NI_PLUS   | 99
17/02/06-23:24:52 | Phase 2 | < 16 , 30 > NI_MINUS   | 88
17/02/06-23:24:52 | Phase 2 | < 16 , 30 > h_plus   | 0.144057575757576
17/02/06-23:24:52 | Phase 2 | < 16 , 30 > fraction   | 1.125
17/02/06-23:24:52 | Phase 2 | < 16 , 30 > h_minus   | 0.162064772727273
17/02/06-23:24:53 | Phase 2 | < 16 , 30 > ACC[var,h]  | 0.827020202020202
17/02/06-23:24:53 | Phase 2 | < 16 , 30 > Zeros   | 0.0652352272727273, 0.264364390413833, 0.699357575757576
17/02/06-23:24:53 | Phase 2 | < 16 , 30 > Num zeros  | 3
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > NI_PLUS   | 99
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > NI_MINUS   | 88
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > h_plus   | 0.149018181818182
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > fraction   | 1.125
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > h_minus   | 0.167645454545455
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > ACC[var,h]  | 0.873737373737374
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > Zeros   | 0.0596545454545455, 0.261208898125845
17/02/06-23:24:53 | Phase 2 | < 16 , 31 > Num zeros  | 2
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > NI_PLUS   | 99
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > NI_MINUS   | 88
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > h_plus   | 0.153978787878788
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > fraction   | 1.125
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > h_minus   | 0.173226136363636
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > ACC[var,h]  | 0.838383838383838
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > Zeros   | 0.258000210509811, 0.709278787878788
17/02/06-23:24:53 | Phase 2 | < 16 , 32 > Num zeros  | 2
17/02/06-23:24:53 | Phase 2 | < 16 , 33 > NI_PLUS   | 99
17/02/06-23:24:53 | Phase 2 | < 16 , 33 > NI_MINUS   | 88
17/02/06-23:24:53 | Phase 2 | < 16 , 33 > h_plus   | 0.158939393939394
17/02/06-23:24:53 | Phase 2 | < 16 , 33 > fraction   | 1.125
17/02/06-23:24:53 | Phase 2 | < 16 , 33 > h_minus   | 0.178806818181818
17/02/06-23:24:54 | Phase 2 | < 16 , 33 > ACC[var,h]  | 0.875
17/02/06-23:24:54 | Phase 2 | < 16 , 33 > Zeros   | 0.0484931818181818, 0.254740907855367
17/02/06-23:24:54 | Phase 2 | < 16 , 33 > Num zeros  | 2
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > NI_PLUS   | 99
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > NI_MINUS   | 88
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > h_plus   | 0.1639
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > fraction   | 1.125
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > h_minus   | 0.1843875
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > ACC[var,h]  | 0.86489898989899
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > Zeros   | 0.251433443139427
17/02/06-23:24:54 | Phase 2 | < 16 , 34 > Num zeros  | 1
17/02/06-23:24:54 | Phase 2 | < 16 , 35 > NI_PLUS   | 99
17/02/06-23:24:54 | Phase 2 | < 16 , 35 > NI_MINUS   | 88
17/02/06-23:24:54 | Phase 2 | < 16 , 35 > h_plus   | 0.168860606060606
17/02/06-23:24:54 | Phase 2 | < 16 , 35 > fraction   | 1.125
17/02/06-23:24:54 | Phase 2 | < 16 , 35 > h_minus   | 0.189968181818182
17/02/06-23:24:55 | Phase 2 | < 16 , 35 > ACC[var,h]  | 0.86489898989899
17/02/06-23:24:55 | Phase 2 | < 16 , 35 > Zeros   | 0.248080146227339
17/02/06-23:24:55 | Phase 2 | < 16 , 35 > Num zeros  | 1
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > NI_PLUS   | 99
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > NI_MINUS   | 88
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > h_plus   | 0.173821212121212
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > fraction   | 1.125
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > h_minus   | 0.195548863636364
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > ACC[var,h]  | 0.876262626262626
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > Zeros   | 0.0317511363636364, 0.244683228378871
17/02/06-23:24:55 | Phase 2 | < 16 , 36 > Num zeros  | 2
17/02/06-23:24:55 | Phase 2 | < 16 , 37 > NI_PLUS   | 99
17/02/06-23:24:55 | Phase 2 | < 16 , 37 > NI_MINUS   | 88
17/02/06-23:24:55 | Phase 2 | < 16 , 37 > h_plus   | 0.178781818181818
17/02/06-23:24:55 | Phase 2 | < 16 , 37 > fraction   | 1.125
17/02/06-23:24:55 | Phase 2 | < 16 , 37 > h_minus   | 0.201129545454545
17/02/06-23:24:56 | Phase 2 | < 16 , 37 > ACC[var,h]  | 0.887626262626263
17/02/06-23:24:56 | Phase 2 | < 16 , 37 > Zeros   | 0.241244786958217
17/02/06-23:24:56 | Phase 2 | < 16 , 37 > Num zeros  | 1
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > NI_PLUS   | 99
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > NI_MINUS   | 88
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > h_plus   | 0.183742424242424
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > fraction   | 1.125
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > h_minus   | 0.206710227272727
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > ACC[var,h]  | 0.900252525252525
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > Zeros   | 0.237766810263442
17/02/06-23:24:56 | Phase 2 | < 16 , 38 > Num zeros  | 1
17/02/06-23:24:56 | Phase 2 | < 16 , 39 > NI_PLUS   | 99
17/02/06-23:24:56 | Phase 2 | < 16 , 39 > NI_MINUS   | 88
17/02/06-23:24:56 | Phase 2 | < 16 , 39 > h_plus   | 0.18870303030303
17/02/06-23:24:56 | Phase 2 | < 16 , 39 > fraction   | 1.125
17/02/06-23:24:56 | Phase 2 | < 16 , 39 > h_minus   | 0.212290909090909
17/02/06-23:24:57 | Phase 2 | < 16 , 39 > ACC[var,h]  | 0.900252525252525
17/02/06-23:24:57 | Phase 2 | < 16 , 39 > Zeros   | 0.234251182405267
17/02/06-23:24:57 | Phase 2 | < 16 , 39 > Num zeros  | 1
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > NI_PLUS   | 99
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > NI_MINUS   | 88
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > h_plus   | 0.193663636363636
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > fraction   | 1.125
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > h_minus   | 0.217871590909091
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > ACC[var,h]  | 0.922979797979798
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > Zeros   | 0.230699688177751
17/02/06-23:24:57 | Phase 2 | < 16 , 40 > Num zeros  | 1
17/02/06-23:24:57 | Phase 2 | < 16 , 41 > NI_PLUS   | 99
17/02/06-23:24:57 | Phase 2 | < 16 , 41 > NI_MINUS   | 88
17/02/06-23:24:57 | Phase 2 | < 16 , 41 > h_plus   | 0.198624242424242
17/02/06-23:24:57 | Phase 2 | < 16 , 41 > fraction   | 1.125
17/02/06-23:24:57 | Phase 2 | < 16 , 41 > h_minus   | 0.223452272727273
17/02/06-23:24:58 | Phase 2 | < 16 , 41 > ACC[var,h]  | 0.924242424242424
17/02/06-23:24:58 | Phase 2 | < 16 , 41 > Zeros   | 0.227114017874571
17/02/06-23:24:58 | Phase 2 | < 16 , 41 > Num zeros  | 1
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > NI_PLUS   | 99
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > NI_MINUS   | 88
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > h_plus   | 0.203584848484848
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > fraction   | 1.125
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > h_minus   | 0.229032954545455
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > ACC[var,h]  | 0.914141414141414
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > Zeros   | 0.223495772014095
17/02/06-23:24:58 | Phase 2 | < 16 , 42 > Num zeros  | 1
17/02/06-23:24:58 | Phase 2 | < 16 , 43 > NI_PLUS   | 99
17/02/06-23:24:58 | Phase 2 | < 16 , 43 > NI_MINUS   | 88
17/02/06-23:24:58 | Phase 2 | < 16 , 43 > h_plus   | 0.208545454545455
17/02/06-23:24:58 | Phase 2 | < 16 , 43 > fraction   | 1.125
17/02/06-23:24:58 | Phase 2 | < 16 , 43 > h_minus   | 0.234613636363636
17/02/06-23:24:59 | Phase 2 | < 16 , 43 > ACC[var,h]  | 0.938131313131313
17/02/06-23:24:59 | Phase 2 | < 16 , 43 > Zeros   | 0.219846465944681
17/02/06-23:24:59 | Phase 2 | < 16 , 43 > Num zeros  | 1
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > NI_PLUS   | 99
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > NI_MINUS   | 88
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > h_plus   | 0.213506060606061
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > fraction   | 1.125
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > h_minus   | 0.240194318181818
17/02/06-23:24:59 | Phase 2 | < 16 , 44 > ACC[var,h]  | 0.938131313131313
